carrier,delayed30,delay,destination
JetBlue,FALSE,-13,MCO
JetBlue,FALSE,0,PBI
JetBlue,FALSE,-4,DEN
United,FALSE,-17,IAH
United,FALSE,-9,DEN
United,FALSE,-28,ORD
JetBlue,FALSE,-35,FLL
United,FALSE,-19,DEN
JetBlue,TRUE,47,MSY
JetBlue,FALSE,-39,CHS
JetBlue,FALSE,-26,BNA
United,FALSE,-33,ORD
JetBlue,FALSE,-24,PBI
JetBlue,FALSE,-24,FLL
United,FALSE,-11,DEN
JetBlue,TRUE,95,BOS
JetBlue,FALSE,-34,MSY
United,FALSE,-7,DEN
JetBlue,FALSE,-18,RSW
United,FALSE,-26,IAH
JetBlue,FALSE,-1,CHS
JetBlue,TRUE,339,PBI
JetBlue,FALSE,-4,PBI
JetBlue,FALSE,-32,SRQ
JetBlue,FALSE,4,FLL
JetBlue,FALSE,-12,PBI
United,FALSE,-10,DEN
JetBlue,FALSE,-40,JAX
JetBlue,TRUE,48,BNA
JetBlue,FALSE,10,TPA
United,FALSE,2,DEN
JetBlue,TRUE,66,MCO
United,FALSE,-24,ORD
JetBlue,FALSE,2,FLL
JetBlue,FALSE,-30,PBI
JetBlue,TRUE,104,BOS
JetBlue,FALSE,22,DEN
United,TRUE,248,IAH
JetBlue,FALSE,0,FLL
JetBlue,TRUE,242,FLL
United,FALSE,-33,IAH
JetBlue,FALSE,-29,FLL
JetBlue,FALSE,-12,MCO
United,FALSE,-3,ORD
JetBlue,FALSE,-43,PBI
JetBlue,FALSE,-23,DEN
JetBlue,FALSE,-33,TPA
United,FALSE,-36,IAH
JetBlue,FALSE,-28,MCO
United,FALSE,3,DEN
United,FALSE,-9,ORD
JetBlue,FALSE,-15,JAX
JetBlue,FALSE,-18,MSY
United,FALSE,-7,DEN
JetBlue,FALSE,-5,SAV
JetBlue,FALSE,-15,BNA
JetBlue,FALSE,2,PBI
JetBlue,FALSE,-18,BOS
JetBlue,TRUE,52,CHS
JetBlue,FALSE,-25,FLL
JetBlue,TRUE,173,FLL
United,FALSE,20,DEN
United,TRUE,61,ORD
JetBlue,FALSE,-51,CHS
United,FALSE,-34,IAH
United,FALSE,22,IAH
JetBlue,TRUE,218,MSY
JetBlue,FALSE,-17,BNA
United,FALSE,6,DEN
JetBlue,TRUE,118,RSW
JetBlue,TRUE,99,PBI
JetBlue,TRUE,31,PBI
JetBlue,TRUE,120,FLL
JetBlue,FALSE,-7,BOS
United,FALSE,-2,ORD
JetBlue,TRUE,96,TPA
JetBlue,TRUE,199,SRQ
JetBlue,FALSE,-1,SAV
United,TRUE,148,DEN
JetBlue,TRUE,104,PBI
JetBlue,TRUE,107,DEN
JetBlue,TRUE,243,FLL
JetBlue,TRUE,248,SAV
