"","carrier","delayed30","delay","destination"
"1","JetBlue",FALSE,-18,"BQN"
"2","JetBlue",FALSE,-8,"MCO"
"3","JetBlue",FALSE,-2,"PBI"
"4","JetBlue",FALSE,-3,"TPA"
"5","JetBlue",FALSE,-4,"BOS"
"6","Delta",FALSE,-8,"ATL"
"7","JetBlue",FALSE,4,"RSW"
"8","JetBlue",FALSE,-21,"SJU"
"9","JetBlue",FALSE,-10,"BOS"
"10","JetBlue",FALSE,5,"BUF"
"11","JetBlue",FALSE,-6,"LAS"
"12","JetBlue",FALSE,11,"MSY"
"13","Delta",FALSE,-9,"SLC"
"14","Delta",FALSE,-8,"SFO"
"15","JetBlue",FALSE,1,"FLL"
"16","JetBlue",TRUE,44,"LAX"
"17","JetBlue",FALSE,-15,"SJU"
"18","JetBlue",FALSE,5,"MCO"
"19","JetBlue",FALSE,-1,"ROC"
"20","JetBlue",FALSE,4,"SYR"
"21","JetBlue",FALSE,-26,"SFO"
"22","JetBlue",FALSE,-11,"SRQ"
"23","Delta",FALSE,3,"SEA"
"24","Delta",FALSE,-30,"MIA"
"25","Delta",FALSE,-13,"MCO"
"26","JetBlue",FALSE,10,"CLT"
"27","JetBlue",FALSE,12,"FLL"
"28","Delta",FALSE,0,"ATL"
"29","JetBlue",FALSE,17,"PIT"
"30","JetBlue",FALSE,-16,"SJU"
"31","Delta",FALSE,-14,"BOS"
"32","Delta",FALSE,-40,"SJU"
"33","JetBlue",FALSE,24,"SAN"
"34","JetBlue",FALSE,-7,"JAX"
"35","JetBlue",FALSE,15,"ORD"
"36","Delta",FALSE,-9,"DTW"
"37","JetBlue",FALSE,2,"TPA"
"38","JetBlue",TRUE,40,"AUS"
"39","JetBlue",FALSE,-7,"BTV"
"40","JetBlue",FALSE,-5,"MCO"
"41","JetBlue",FALSE,-16,"RDU"
"42","JetBlue",FALSE,14,"IAD"
"43","Delta",FALSE,10,"LAX"
"44","JetBlue",FALSE,-4,"BOS"
"45","JetBlue",FALSE,2,"PBI"
"46","JetBlue",FALSE,-5,"BUF"
"47","JetBlue",TRUE,42,"FLL"
"48","JetBlue",FALSE,2,"LAX"
"49","JetBlue",FALSE,-17,"PWM"
"50","Delta",FALSE,-21,"LAS"
"51","JetBlue",FALSE,-1,"MCO"
"52","Delta",FALSE,-9,"SLC"
"53","JetBlue",FALSE,-4,"BTV"
"54","JetBlue",FALSE,4,"SFO"
"55","JetBlue",FALSE,3,"RSW"
"56","JetBlue",FALSE,29,"FLL"
"57","Delta",FALSE,-39,"LAX"
"58","JetBlue",TRUE,38,"HOU"
"59","JetBlue",FALSE,-6,"TPA"
"60","Delta",FALSE,1,"SLC"
"61","Delta",FALSE,-38,"SJU"
"62","JetBlue",TRUE,36,"BUF"
"63","JetBlue",FALSE,16,"FLL"
"64","JetBlue",FALSE,-9,"LGB"
"65","JetBlue",FALSE,-2,"BOS"
"66","JetBlue",FALSE,12,"ROC"
"67","JetBlue",FALSE,5,"PBI"
"68","Delta",FALSE,1,"ATL"
"69","JetBlue",FALSE,0,"JAX"
"70","JetBlue",TRUE,78,"LAX"
