City,Age,Time,Sex
Atlanta,19,15,M
Atlanta,55,60,M
Atlanta,48,45,M
Atlanta,45,10,F
Atlanta,48,29,F
Atlanta,43,60,M
Atlanta,48,45,M
Atlanta,41,10,F
Atlanta,47,25,M
Atlanta,39,15,F
Atlanta,18,45,F
Atlanta,38,50,M
Atlanta,52,15,F
Atlanta,39,30,M
Atlanta,29,30,F
Atlanta,46,20,M
Atlanta,46,5,F
Atlanta,43,45,M
Atlanta,39,20,M
Atlanta,42,20,F
Atlanta,30,20,M
Atlanta,40,40,M
Atlanta,45,29,F
Atlanta,37,40,M
Atlanta,67,25,F
Atlanta,44,8,F
Atlanta,39,15,M
Atlanta,56,19,F
Atlanta,23,45,F
Atlanta,41,35,M
Atlanta,40,40,M
Atlanta,66,20,F
Atlanta,55,20,F
Atlanta,24,50,F
Atlanta,55,10,F
Atlanta,42,45,F
Atlanta,46,10,F
Atlanta,49,19,F
Atlanta,57,5,F
Atlanta,38,7,M
Atlanta,54,39,F
Atlanta,66,30,M
Atlanta,35,9,F
Atlanta,41,32,M
Atlanta,59,40,M
Atlanta,46,20,F
Atlanta,50,45,M
Atlanta,53,70,M
Atlanta,39,10,F
Atlanta,48,45,M
Atlanta,35,30,F
Atlanta,54,30,F
Atlanta,38,29,M
Atlanta,34,50,M
Atlanta,49,6,M
Atlanta,40,19,M
Atlanta,42,30,M
Atlanta,23,60,F
Atlanta,35,27,F
Atlanta,57,1,M
Atlanta,24,13,F
Atlanta,29,35,M
Atlanta,35,14,M
Atlanta,38,30,F
Atlanta,47,25,M
Atlanta,46,20,M
Atlanta,34,10,M
Atlanta,35,15,M
Atlanta,32,32,M
Atlanta,46,9,M
Atlanta,24,20,M
Atlanta,26,20,F
Atlanta,22,14,M
Atlanta,34,35,F
Atlanta,50,30,M
Atlanta,47,28,M
Atlanta,35,6,M
Atlanta,37,15,M
Atlanta,29,4,F
Atlanta,24,30,M
Atlanta,22,34,F
Atlanta,38,59,M
Atlanta,28,30,M
Atlanta,53,50,M
Atlanta,21,5,M
Atlanta,44,10,M
Atlanta,34,30,M
Atlanta,67,35,M
Atlanta,49,3,F
Atlanta,35,25,F
Atlanta,45,30,M
Atlanta,40,44,F
Atlanta,62,179,M
Atlanta,64,14,F
Atlanta,71,30,F
Atlanta,37,50,F
Atlanta,33,20,F
Atlanta,71,20,M
Atlanta,33,45,M
Atlanta,53,45,F
Atlanta,39,44,M
Atlanta,17,10,M
Atlanta,51,40,M
Atlanta,26,35,F
Atlanta,40,15,M
Atlanta,49,40,F
Atlanta,54,30,F
Atlanta,54,34,F
Atlanta,50,15,F
Atlanta,42,20,F
Atlanta,29,25,M
Atlanta,55,25,F
Atlanta,51,3,M
Atlanta,28,5,F
Atlanta,31,90,M
Atlanta,48,23,F
Atlanta,41,20,M
Atlanta,27,40,F
Atlanta,29,25,M
Atlanta,35,44,M
Atlanta,28,25,M
Atlanta,31,30,F
Atlanta,34,10,M
Atlanta,38,45,M
Atlanta,33,30,F
Atlanta,40,25,F
Atlanta,35,19,F
Atlanta,51,45,M
Atlanta,57,9,M
Atlanta,44,20,F
Atlanta,39,44,F
Atlanta,49,45,F
Atlanta,53,20,F
Atlanta,32,30,M
Atlanta,50,10,M
Atlanta,33,15,M
Atlanta,34,50,F
Atlanta,41,10,M
Atlanta,36,45,M
Atlanta,63,5,F
Atlanta,51,2,M
Atlanta,31,30,F
Atlanta,36,30,F
Atlanta,29,7,F
Atlanta,42,18,M
Atlanta,46,9,F
Atlanta,58,24,M
Atlanta,39,45,M
Atlanta,25,120,M
Atlanta,50,45,M
Atlanta,35,30,F
Atlanta,34,7,F
Atlanta,57,35,M
Atlanta,36,25,M
Atlanta,31,20,F
Atlanta,27,2,F
Atlanta,33,60,M
Atlanta,43,12,F
Atlanta,32,30,M
Atlanta,56,35,M
Atlanta,34,5,F
Atlanta,63,9,F
Atlanta,38,20,F
Atlanta,38,27,M
Atlanta,57,40,F
Atlanta,25,30,M
Atlanta,53,15,M
Atlanta,37,32,M
Atlanta,59,60,F
Atlanta,37,20,F
Atlanta,37,14,M
Atlanta,28,20,M
Atlanta,19,2,M
Atlanta,47,40,F
Atlanta,51,45,F
Atlanta,65,90,M
Atlanta,40,20,F
Atlanta,22,15,M
Atlanta,66,30,M
Atlanta,33,45,F
Atlanta,47,20,M
Atlanta,31,25,F
Atlanta,47,15,F
Atlanta,55,55,M
Atlanta,55,15,M
Atlanta,28,30,M
Atlanta,19,45,M
Atlanta,48,39,M
Atlanta,47,90,M
Atlanta,43,30,M
Atlanta,39,80,F
Atlanta,45,30,F
Atlanta,66,30,M
Atlanta,55,89,M
Atlanta,55,23,F
Atlanta,28,12,F
Atlanta,28,30,F
Atlanta,18,24,F
Atlanta,50,1,F
Atlanta,43,25,F
Atlanta,69,30,F
Atlanta,64,15,F
Atlanta,48,45,M
Atlanta,40,75,F
Atlanta,48,15,F
Atlanta,48,39,F
Atlanta,60,20,M
Atlanta,49,35,F
Atlanta,33,15,F
Atlanta,30,80,F
Atlanta,54,10,M
Atlanta,56,30,M
Atlanta,25,15,F
Atlanta,36,9,F
Atlanta,75,34,M
Atlanta,26,50,F
Atlanta,40,35,F
Atlanta,48,30,F
Atlanta,43,35,F
Atlanta,41,2,M
Atlanta,22,10,M
Atlanta,50,30,F
Atlanta,27,25,F
Atlanta,23,9,F
Atlanta,23,25,M
Atlanta,52,6,F
Atlanta,45,45,M
Atlanta,51,60,M
Atlanta,55,32,F
Atlanta,26,25,M
Atlanta,17,15,M
Atlanta,61,13,M
Atlanta,45,9,M
Atlanta,51,20,M
Atlanta,54,25,M
Atlanta,42,15,M
Atlanta,32,40,M
Atlanta,38,30,F
Atlanta,29,2,M
Atlanta,45,20,M
Atlanta,47,46,F
Atlanta,58,30,F
Atlanta,23,30,M
Atlanta,51,45,F
Atlanta,51,24,F
Atlanta,23,20,F
Atlanta,43,16,F
Atlanta,40,60,F
Atlanta,31,15,M
Atlanta,28,15,F
Atlanta,39,15,F
Atlanta,21,29,M
Atlanta,40,10,F
Atlanta,56,30,M
Atlanta,38,20,M
Atlanta,44,29,M
Atlanta,45,75,F
Atlanta,49,20,F
Atlanta,22,9,F
Atlanta,54,15,M
Atlanta,44,20,M
Atlanta,31,15,F
Atlanta,43,30,M
Atlanta,32,30,M
Atlanta,32,15,M
Atlanta,55,20,F
Atlanta,34,20,F
Atlanta,54,10,M
Atlanta,51,21,F
Atlanta,19,9,M
Atlanta,47,29,M
Atlanta,53,14,F
Atlanta,27,180,M
Atlanta,47,35,M
Atlanta,30,30,M
Atlanta,35,35,M
Atlanta,28,25,F
Atlanta,30,5,M
Atlanta,40,30,F
Atlanta,42,15,F
Atlanta,33,13,M
Atlanta,52,60,F
Atlanta,17,34,M
Atlanta,38,5,F
Atlanta,16,25,F
Atlanta,52,30,M
Atlanta,55,60,M
Atlanta,17,20,F
Atlanta,34,45,F
Atlanta,35,16,F
Atlanta,43,25,M
Atlanta,49,12,F
Atlanta,33,35,M
Atlanta,39,45,M
Atlanta,41,45,M
Atlanta,25,15,F
Atlanta,35,45,M
Atlanta,17,5,F
Atlanta,18,15,M
Atlanta,48,40,M
Atlanta,35,30,M
Atlanta,40,60,F
Atlanta,44,3,F
Atlanta,55,29,M
Atlanta,47,120,F
Atlanta,43,44,M
Atlanta,52,7,M
Atlanta,40,1,M
Atlanta,54,24,M
Atlanta,44,45,F
Atlanta,62,44,M
Atlanta,38,19,F
Atlanta,26,35,F
Atlanta,45,9,M
Atlanta,32,25,M
Atlanta,52,29,M
Atlanta,40,29,M
Atlanta,50,25,M
Atlanta,29,30,F
Atlanta,43,45,M
Atlanta,39,30,M
Atlanta,50,25,F
Atlanta,28,44,F
Atlanta,65,27,M
Atlanta,50,19,M
Atlanta,20,14,F
Atlanta,41,39,F
Atlanta,54,10,F
Atlanta,38,22,M
Atlanta,36,89,M
Atlanta,27,20,F
Atlanta,22,45,F
Atlanta,37,15,F
Atlanta,35,14,M
Atlanta,25,25,F
Atlanta,17,44,F
Atlanta,31,79,M
Atlanta,27,20,M
Atlanta,19,19,F
Atlanta,42,10,F
Atlanta,39,9,M
Atlanta,31,45,F
Atlanta,57,29,M
Atlanta,41,25,F
Atlanta,44,44,M
Atlanta,32,45,F
Atlanta,27,40,M
Atlanta,33,38,F
Atlanta,39,24,F
Atlanta,62,20,M
Atlanta,30,15,M
Atlanta,37,10,F
Atlanta,27,15,F
Atlanta,60,20,M
Atlanta,18,120,M
Atlanta,38,20,F
Atlanta,56,15,F
Atlanta,43,24,M
Atlanta,52,30,F
Atlanta,34,45,F
Atlanta,33,35,F
Atlanta,53,25,M
Atlanta,17,7,F
Atlanta,39,45,M
Atlanta,39,20,M
Atlanta,35,20,M
Atlanta,46,45,M
Atlanta,55,20,F
Atlanta,31,45,M
Atlanta,54,20,F
Atlanta,20,14,F
Atlanta,34,30,M
Atlanta,33,15,M
Atlanta,29,34,F
Atlanta,23,90,F
Atlanta,16,5,F
Atlanta,43,20,F
Atlanta,40,40,M
Atlanta,38,35,F
Atlanta,28,10,M
Atlanta,57,23,M
Atlanta,23,60,F
Atlanta,68,14,M
Atlanta,49,44,F
Atlanta,17,4,F
Atlanta,21,24,F
Atlanta,56,20,F
Atlanta,34,10,M
Atlanta,51,20,M
Atlanta,16,25,M
Atlanta,43,45,M
Atlanta,44,45,M
Atlanta,25,44,F
Atlanta,49,18,F
Atlanta,19,15,M
Atlanta,35,25,F
Atlanta,41,2,F
Atlanta,34,20,M
Atlanta,46,15,M
Atlanta,39,10,F
Atlanta,48,18,F
Atlanta,33,20,F
Atlanta,39,29,F
Atlanta,57,15,F
Atlanta,37,10,F
Atlanta,48,60,F
Atlanta,32,20,F
Atlanta,28,9,F
Atlanta,42,15,M
Atlanta,44,30,F
Atlanta,55,12,M
Atlanta,37,10,F
Atlanta,58,25,M
Atlanta,52,20,M
Atlanta,30,5,M
Atlanta,57,20,F
Atlanta,30,2,F
Atlanta,28,30,M
Atlanta,56,30,M
Atlanta,30,45,F
Atlanta,36,19,F
Atlanta,35,35,M
Atlanta,53,10,M
Atlanta,44,30,F
Atlanta,27,30,F
Atlanta,48,40,F
Atlanta,46,60,M
Atlanta,25,59,M
Atlanta,34,40,F
Atlanta,53,29,M
Atlanta,49,10,M
Atlanta,37,60,M
Atlanta,43,12,F
Atlanta,85,30,F
Atlanta,32,35,M
Atlanta,57,15,M
Atlanta,45,7,M
Atlanta,39,10,F
Atlanta,44,29,M
Atlanta,43,10,F
Atlanta,26,10,F
Atlanta,48,15,F
Atlanta,22,14,F
Atlanta,43,10,M
Atlanta,49,79,M
Atlanta,44,15,M
Atlanta,49,35,F
Atlanta,21,25,F
Atlanta,57,50,M
Atlanta,26,20,M
Atlanta,44,59,M
Atlanta,36,40,M
Atlanta,37,29,F
Atlanta,35,20,F
Atlanta,31,20,M
Atlanta,27,60,F
Atlanta,30,29,F
Atlanta,28,25,F
Atlanta,24,15,M
Atlanta,46,59,M
Atlanta,27,30,F
Atlanta,27,20,M
Atlanta,40,35,F
Atlanta,45,15,F
Atlanta,35,54,F
Atlanta,42,40,F
